Date,Place,Suburb,Arrival Time,Departure Time
,,,,
Tuesday 22 June 2021,McDonald's Glass House Mountains4288 Bruce Highway,Coochin Creek,5.45am,6am
Tuesday 22 June 2021,"Good Life Gym Fortitude Valley Homemaker The Valley NorthMontpelier Road &, Wickham Street",Fortitude Valley,7.30am,9.45am
Tuesday 22 June 2021,Miracle Worker massage & Holistic Therapies79 Russell Street,West End,9.30am,5pm
Tuesday 22 June 2021,Anytime Fitness Hamilton2 Harbour Road,Hamilton,4.15pm,5.15pm
Tuesday 22 June 2021,Coles Indooroopilly Shopping Centre322 Moggill Road,Indooroopilly,6pm,6.45pm
Tuesday 22 June 2021,Domino's Pizza - Sunshine Homemaker Centre100 Maroochydore Road,Maroochydore,9.35pm,9.40pm
Wednesday 23 June 2021,McDonald's Glass House Mountains4288 Bruce Highway,Coochin Creek,6am,6.15am
Wednesday 23 June 2021,"Shell Coles ExpressCnr Moreton Dr &, Nancy Bird Way",Brisbane Airport,6.13am,6.31am
Wednesday 23 June 2021,Miracle Worker massage & Holistic Therapies79 Russell Street,West End,10am,5pm
Wednesday 23 June 2021,"Wellcamp Airport, aircraft operations/cargo/maintenance areas. Does not include passenger terminal or boarding/disembarking1511 Toowoomba-Cecil Plains Road",Wellcamp,10.10am,2.30pm
Wednesday 23 June 2021,Shell Rusty's4114 Warrego Hwy,Hatton Vale,3.30pm,4.15pm
Wednesday 23 June 2021,Anytime Fitness Hamilton2 Harbour Road,Hamilton,4pm,5.30pm
Wednesday 23 June 2021,Breeze Cafe - accessible from rear entrance of the main hospital buildingThe Prince Charles Hospital,Chermside,4.50pm,5.15pm
Wednesday 23 June 2021,Goodlife Health Clubs West End - West Village35 Mollison Street,West End,5.15pm,7.15pm
Wednesday 23 June 2021,"BP Haigslea Service Centre (Only Food Court, Origin Kebabs, Toilets, Coolibah Tree Cafe, Hungry Jacks)2312 Warrego Hwy",Haigslea,8.21am,8.43am
Thursday 24 June 2021,Ampol Petrol Station132a East-West Arterial Road,Hendra,6.55am,7.15am
Thursday 24 June 2021,"Zarraffas Coffee Hendra538 Nudgee Road or, 100 East-West Arterial Road",Hendra,6.55am,7.15am
Thursday 24 June 2021,Hendra Post Office355 Nudgee Road,Hendra,7.10am,7.30am
Thursday 24 June 2021,Anytime Fitness Griffin1/185 Brays Rd,Griffin,7.59am,8.57am
Thursday 24 June 2021,Coles Murrumba DownsDohles Rocks Rd,Murrumba Downs,9.05am,9.35am
Thursday 24 June 2021,"News@BNELevel 2, Southern Satellite, Adjacent Gate 44, Domestic Terminal",Brisbane Airport,9.20am,10.20am
Thursday 24 June 2021,Virgin flight VA369Brisbane to Townsville,Brisbane to Townsville,10.10am,12.15pm
Thursday 24 June 2021,Miracle Worker massage & Holistic Therapies79 Russell Street,West End,12.15pm,5.30pm
Thursday 24 June 2021,"Brewery CafeTownsville Airport, Coral Sea Drive",Garbutt,12.20pm,1.20pm
Thursday 24 June 2021,Barefoot art food and wine5 Pacific Drive,Horseshoe Bay,6.30pm,8.30pm
Thursday 24 June 2021,Guzman y GomezShop 1/18 Stamford Road,Indooroopilly,7.45pm,8pm
Friday 25 June 2021,Anytime Fitness Griffin1/185 Brays Rd,Griffin,8.02am,9.15am
Friday 25 June 2021,Chez Nous Cafe160 Roma Street,Brisbane City,8.15am,8.30am
Friday 25 June 2021,Market Organics10/620 Moggill Road,Chapel Hill,9.10am,9.45am
Friday 25 June 2021,"Commonwealth Bank of Australia, Indooroopilly Shopping Centre322 Moggill Road",Indooroopilly,9.55am,10.25am
Friday 25 June 2021,"JB HIFI, Indooroopilly Shopping Centre322 Moggill Road",Indooroopilly,10.10am,10.25am
Friday 25 June 2021,"Front reception, coffee stop Peppers Resort123 Sooning St",Nelly Bay,11am,11.15am
Friday 25 June 2021,Virgin flight VA939Sydney to Brisbane,Sydney to Brisbane,11.51am,1.25pm
Friday 25 June 2021,Office Works North Lakes56 Flinders Parade,North Lakes,12.15pm,12.51pm
Friday 25 June 2021,Unhas Chic Salon8/204 Alice Street,Brisbane City,12.30pm,4pm
Friday 25 June 2021,Woolworths Metro Teneriffe105-109 Commercial Road,Teneriffe,1pm,1.15pm
Friday 25 June 2021,"Administration Building, Greek Orthodox Community of St George Brisbane36 Browning Street",South Brisbane,1.50pm,2.30pm
Friday 25 June 2021,"Merlo CoffeeLevel 2, Virgin Food Court, Domestic Terminal",Brisbane Airport,1.55pm,2.15pm
Friday 25 June 2021,"Female Toilets, left of Virgin Food Court (facing food court)Level 2, near Virgin Food Court, Domestic Terminal",Brisbane Airport,2.05pm,2.15pm
Friday 25 June 2021,Getta BurgerAnzac Avenue,North Lakes,2.05pm,2.24pm
Friday 25 June 2021,Woolworths GasWorks76 Skyring Terrace,Newstead,2.55pm,3.10pm
Friday 25 June 2021,Virgin flight VA334Brisbane to Melbourne,Brisbane to Melbourne,2.59pm,5.16pm
Friday 25 June 2021,Magnetic Island IGA147/153 Sooning St,Nelly Bay,3pm,3.15pm
Friday 25 June 2021,"Nippon Ramen, Food Court level, Brisbane Domestic TerminalAirport Drive",Brisbane Airport,3.12pm,3.34pm
Friday 25 June 2021,Virgin Flight VA454Darwin to Brisbane,Darwin to Brisbane,3.15pm,7.30pm
Friday 25 June 2021,B's Salon & Barber Shop3/20-28 Oneills Rd,Willowbank,4.50pm,5.10pm
Friday 25 June 2021,Drake Super Market44 John Street,Rosewood,5.20pm,5.25pm
Friday 25 June 2021,United Petroleum - Warwick86 Wallace Street,Warwick,5.30pm,5.45pm
Friday 25 June 2021,Main StPacific Drive,Horseshoe Bay,5.30pm,6.30pm
Friday 25 June 2021,Thai Again restaurant56 Yates St,Nelly Bay,6.30pm,8.30pm
Friday 25 June 2021,"Female Toilet between Gate 38 and Gate 39 (behind Mecca Maxima and Peter Alexander stores) - Virgin TerminalLevel 2, Domestic Terminal",Brisbane Airport,7.20pm,7.30pm
Saturday 26 June 2021,New Farm Deli & Cafe900 Brunswick Street,New Farm,7.45am,9am
Saturday 26 June 2021,Virgin flight VA827Melbourne to Sydney,Melbourne to Sydney,9am,10.14am
Saturday 26 June 2021,The Albion MarketplaceShop 1-2/6 Crosby Road,Albion,9.50am,10.15am
Saturday 26 June 2021,Anytime Fitness Griffin1/185 Brays Rd,Griffin,10.26am,11.50am
Saturday 26 June 2021,Virgin Flight VA517Sydney to Gold Coast,Sydney to Gold Coast,11.14am,12.40pm
Saturday 26 June 2021,Priceline Toombul Shopping Centre1015 Sandgate Rd,Nundah,11.38am,12.13pm
Saturday 26 June 2021,Kmart Toombul Shopping Centre1015 Sandgate Rd,Nundah,11.38am,12.13pm
Saturday 26 June 2021,"Lush, Westfield ChermsideGympie Rd",Chermside,12.05pm,12.25pm
Saturday 26 June 2021,Factorie Clothing Westfield ChermsideGympie Rd,Chermside,12.10pm,12.30pm
